word,tf_idf,Avoiding_IN
cool,0.08043617614342329,Schizoid
thought,0.0786559978731335,Schizoid
thirsty,0.07815199234239778,Schizoid
sleepy,0.07723295526504631,Schizoid
big,0.0768650747664083,Schizoid
parent,0.0768650747664083,Schizoid
expensive,0.07635988970303062,Schizoid
effort,0.07552841480478548,Schizoid
black,0.07552841480478548,Schizoid
jump,0.0747347475506852,Schizoid
admit,0.07397559869213272,Schizoid
well,0.07353728688778208,Schizoid
guilty,0.07254969034678406,Schizoid
white,0.07254969034678406,Schizoid
shop,0.07187815859992672,Schizoid
beautiful,0.07123150419658891,Schizoid
guy,0.07098758905239337,Schizoid
wonderful,0.0694239248958707,Schizoid
stomach,0.0694239248958707,Schizoid
window,0.06886072531706265,Schizoid
manage,0.06831512863650493,Schizoid
desk,0.06628877864254963,Schizoid
mention,0.06628877864254963,Schizoid
type,0.06539524169723013,Schizoid
random,0.06513221854255265,Schizoid
attention,0.06425915298053696,Schizoid
asleep,0.06404754223373735,Schizoid
hair,0.06404754223373735,Schizoid
mother,0.06282907065480722,Schizoid
fix,0.06282907065480722,Schizoid
store,0.06263401082819152,Schizoid
one,0.0624411064028824,Schizoid
body,0.06225031026486051,Schizoid
nap,0.06206157682818923,Schizoid
miss,0.06094307003492246,Schizoid
trouble,0.06079466141340836,Schizoid
weight,0.06044895362429038,Schizoid
wonder,0.05979423640986723,Schizoid
know,0.0591855088752528,Schizoid
picture,0.05897277840614587,Schizoid
door,0.05790516449275359,Schizoid
cute,0.05790516449275359,Schizoid
try,0.05650432060748054,Schizoid
eye,0.05529879850426356,Schizoid
open,0.05455049797469814,Schizoid
like,0.053398688382175034,Schizoid
work,0.05256674870530502,Schizoid
hot,0.0522651913484551,Schizoid
tv,0.05194680551124367,Schizoid
decide,0.05034036968038872,Schizoid
come,0.04995852401220028,Schizoid
figure,0.049406581716768316,Schizoid
brother,0.04904661694616329,Schizoid
friend,0.048897723056496326,Schizoid
hang,0.04809335583734405,Schizoid
dad,0.04759453124869037,Schizoid
fall,0.04751276213966547,Schizoid
pay,0.04743137423999218,Schizoid
use,0.04703003075160156,Schizoid
remember,0.04671546957709807,Schizoid
lose,0.04617826802671447,Schizoid
stupid,0.04522245145088334,Schizoid
money,0.04486832829748544,Schizoid
