word,tf_idf,classification
watch,0.13126761145082477,Neuroticism
life,0.13111067500143542,Neuroticism
tower,0.13094274657103006,Neuroticism
pledge,0.12331720656622129,Neuroticism
day,0.12203270265162985,Neuroticism
today,0.12066617650769017,Neuroticism
event,0.11876200089121158,Neuroticism
night,0.10463998572147816,Neuroticism
reassuring,0.09840487328550163,Neuroticism
forgetting,0.09840487328550163,Neuroticism
exauste,0.09840487328550163,Neuroticism
remembering,0.09840487328550163,Neuroticism
sorrow,0.09840487328550163,Neuroticism
prioroty,0.09840487328550163,Neuroticism
story,0.09837472031422968,Neuroticism
unite,0.09303107578730826,Neuroticism
overtake,0.09303107578730826,Neuroticism
tridelt,0.09303107578730826,Neuroticism
awesome,0.09034816160548365,Neuroticism
horrific,0.08921830578490389,Neuroticism
kill,0.08806167325894416,Neuroticism
terrorism,0.0862608916108823,Neuroticism
mourning,0.0862608916108823,Neuroticism
worship,0.08384450828671053,Neuroticism
campus,0.08272262160067487,Neuroticism
praise,0.08180148529648187,Neuroticism
bark,0.08180148529648187,Neuroticism
awe,0.08180148529648187,Neuroticism
girl,0.08049248850491654,Neuroticism
socialize,0.08003173828430614,Neuroticism
flag,0.08003173828430614,Neuroticism
dye,0.07581113870778573,Neuroticism
second,0.07382940707212689,Neuroticism
nation,0.07170052661209118,Neuroticism
retreat,0.07170052661209118,Neuroticism
participate,0.07004168748876809,Neuroticism
shock,0.06928414328791942,Neuroticism
helpful,0.06856756794620353,Neuroticism
bond,0.06788775660968681,Neuroticism
disappoint,0.06724112029769076,Neuroticism
occur,0.06724112029769076,Neuroticism
risk,0.06603543353364565,Neuroticism
creative,0.06603543353364565,Neuroticism
overcome,0.06547137328551503,Neuroticism
american,0.06547137328551503,Neuroticism
daily,0.06547137328551503,Neuroticism
chill,0.06391034578972606,Neuroticism
stranger,0.06342835029528639,Neuroticism
field,0.06047093612126479,Neuroticism
term,0.05903673653471224,Neuroticism
heat,0.05870118910908906,Neuroticism
burn,0.05870118910908906,Neuroticism
background,0.058373927657712585,Neuroticism
come,0.05739211862523085,Neuroticism
process,0.05714016161330008,Neuroticism
system,0.05472377828912832,Neuroticism
fun,0.054266864077420277,Neuroticism
quit,0.05355014333121467,Neuroticism
touch,0.05332739161089571,Neuroticism
street,0.0524720357825129,Neuroticism
focus,0.052266552358286256,Neuroticism
proud,0.05091100828672393,Neuroticism
join,0.05054787830093518,Neuroticism
save,0.05019443294500805,Neuroticism
fight,0.04918736015711484,Neuroticism
amazing,0.04825143620599249,Neuroticism
sorority,0.04723701877098646,Neuroticism
complete,0.04655720743446972,Neuroticism
number,0.04642533156654501,Neuroticism
dog,0.0460373990317101,Neuroticism
year,0.04579785374697577,Neuroticism
picture,0.0452940220319709,Neuroticism
time,0.04509711443538765,Neuroticism
one,0.04470488435842857,Neuroticism
go,0.04469382586270123,Neuroticism
know,0.044475562298342555,Neuroticism
hold,0.04392175440566482,Neuroticism
think,0.0424252464989709,Neuroticism
try,0.042341880947335826,Neuroticism
tv,0.042192808088747154,Neuroticism
moment,0.042192808088747154,Neuroticism
cry,0.04163272128252185,Neuroticism
begin,0.041361310800337434,Neuroticism
lot,0.04078778322181822,Neuroticism
important,0.04066360153351674,Neuroticism
matter,0.04024547804402816,Neuroticism
teacher,0.040163413290337215,Neuroticism
excited,0.03968141779589753,Neuroticism
experience,0.039602762280907304,Neuroticism
eye,0.039602762280907304,Neuroticism
house,0.03914038694604771,Neuroticism
class,0.03842928397697238,Neuroticism
sad,0.03805045127038872,Neuroticism
fact,0.03580961243808301,Neuroticism
close,0.03575083888111782,Neuroticism
get,0.035288524002082204,Neuroticism
